brand,model,boardModelId,primaryLane,secondaryLanes,confidence,missingFields
Firewire,FRK Swallow,7959,hybrid_daily_driver,one_board_quiver,low,waveRange; surferFit
Firewire,FRK+,7970,high_performance_shortboard,powerful_wave_board,medium,waveRange
Firewire,Great White Twin,7965,twin_fin_performance,small_wave_fish,medium,waveRange; surferFit
Firewire,Greedy Beaver,7976,cruisy_mid_length,performance_mid_length,medium,waveRange; surferFit
Firewire,Groove,7963,high_performance_shortboard,powerful_wave_board,medium,waveRange; surferFit
Firewire,Machadocado,7966,modern_fish,cruisy_fish,medium,waveRange
Firewire,Mashup,7971,fish_hybrid,performance_fish; small_wave_daily_driver,medium,waveRange; surferFit
Firewire,Mindcraft,7956,youth,,medium,surferFit
Firewire,Neutrino,7960,hybrid_daily_driver,one_board_quiver,low,waveRange; surferFit
Firewire,Revo Max,7964,mid_length,,medium,waveRange; surferFit
Firewire,S Boss,7967,hybrid_daily_driver,one_board_quiver,low,waveRange; surferFit
Firewire,Sci-Fi 2.0,7973,high_performance_shortboard,performance_daily_driver,medium,waveRange; surferFit
Firewire,Seaside,7972,cruisy_fish,small_wave_fish; modern_fish; point_break_fish,high,waveRange; surferFit
Firewire,Seaside & Beyond,7978,fish,weak_wave_board,medium,waveRange; surferFit
Firewire,Singleton,7979,longboard,,medium,waveRange; surferFit
Firewire,Spaceship,7957,hybrid_daily_driver,one_board_quiver,low,waveRange; surferFit
Firewire,Special T,7980,longboard,,low,waveRange; surferFit
Firewire,Sweet Potato,7969,high_volume_groveller,small_wave_speed_board,medium,waveRange; surferFit
Firewire,Taylor Jensen Hull Rider,7962,noserider,cruisy_longboard,medium,waveRange; surferFit
Firewire,Taylor Jensen Pro,7982,performance_longboard,,medium,waveRange; surferFit
Firewire,Taylor Jensen Pro Mid,7974,longboard,,medium,waveRange; surferFit
Firewire,Taylor Jensen Pro V,7983,longboard,,medium,waveRange; surferFit
Firewire,Taylor Jensen Twinzer,7975,step_up,twin_fin; powerful_wave_board; travel_board,medium,waveRange; surferFit
Firewire,The Gem,7981,longboard,,medium,waveRange; surferFit
Firewire,Xtra Cado,7955,longboard,,medium,waveRange; surferFit
Haydenshapes,Cannon,7985,big_wave_step_up,travel_step_up; barrel_board,medium,waveRange; surferFit
Haydenshapes,Holy Grail,7995,performance_daily_driver,high_performance_shortboard,medium,waveRange
Haydenshapes,Holy Hypto,7996,performance_daily_driver,hybrid_daily_driver,medium,waveRange
Haydenshapes,Holy Hypto FutureFlex,7997,hybrid_daily_driver,one_board_quiver,low,waveRange
Haydenshapes,Hypto Krypto,7998,hybrid_daily_driver,forgiving_daily_driver; one_board_quiver,high,
Haydenshapes,Love Buzz,,high_performance_shortboard,performance_daily_driver,medium,
Haydenshapes,Merlot,8004,hybrid_daily_driver,one_board_quiver,low,waveRange; surferFit
Haydenshapes,Nova,8009,hybrid_daily_driver,one_board_quiver; beginner_progression,low,waveRange
Haydenshapes,Plunder,8011,cruisy_fish,fish_hybrid,medium,waveRange
Haydenshapes,Psychedelic Germ,8012,hybrid_daily_driver,one_board_quiver,low,
Haydenshapes,Shred Sled,8013,performance_groveller,small_wave_speed_board,medium,waveRange
Haydenshapes,Shred Sled King,8014,step_up,powerful_wave_board; travel_board,medium,
Haydenshapes,Untitled,8015,high_performance_shortboard,powerful_wave_board,medium,waveRange
Haydenshapes,Untitled V2,8016,high_performance_shortboard,powerful_wave_board,medium,waveRange
JS Industries,Big Baron,7695,cruisy_mid_length,mid_length_twin,medium,waveRange; surferFit
JS Industries,Big Baron Easy Rider,7704,softboard,beginner_progression,medium,waveRange; surferFit
JS Industries,Big Baron Softboard,7705,softboard,beginner_progression,medium,waveRange; surferFit; designData
JS Industries,Big Horse,7686,step_up,high_performance_shortboard; powerful_wave_board; travel_board,medium,waveRange; surferFit
JS Industries,Black Baron,7696,performance_fish,small_wave_fish; twin_fin_performance; point_break_fish,high,waveRange; surferFit
JS Industries,Black Eagle 2,7703,foil,,medium,waveRange; surferFit
JS Industries,Bull Run,7697,user_friendly_shortboard,forgiving_daily_driver,medium,waveRange; surferFit
JS Industries,Bull Run Softboard,7706,softboard,beginner_progression,medium,waveRange; surferFit
JS Industries,El Baron,7694,twin_fin_performance,performance_fish,medium,waveRange; surferFit
JS Industries,Flame Fish,7699,small_wave_fish,fish_hybrid,medium,waveRange; surferFit
JS Industries,Flame Fish Softboard,7707,softboard,beginner_progression,medium,waveRange; surferFit
JS Industries,Forget Me Not 3,7688,performance_step_up,barrel_board,medium,waveRange; surferFit
JS Industries,Forget Me Not 3 Step Up,7685,big_wave_step_up,travel_step_up; barrel_board,medium,waveRange; surferFit
JS Industries,Golden Child,7687,performance_daily_driver,high_performance_shortboard,medium,waveRange; surferFit
JS Industries,Golden Child Easy Rider,7708,hybrid_daily_driver,one_board_quiver,low,waveRange; surferFit
JS Industries,Golden Child Youth,7700,youth,,medium,waveRange; surferFit
JS Industries,Monsta,7689,high_performance_shortboard,performance_daily_driver,high,
JS Industries,Monsta Easy Rider,7709,hybrid_daily_driver,one_board_quiver,low,surferFit
JS Industries,Monsta Youth,7701,youth,,medium,surferFit
JS Industries,Mother Trucker,7683,step_up,high_performance_shortboard; powerful_wave_board; travel_board,medium,waveRange; surferFit
JS Industries,Raging Bull,7691,performance_daily_driver,forgiving_daily_driver,medium,waveRange; surferFit
JS Industries,Raging Bull Easy Rider,7712,hybrid_daily_driver,one_board_quiver,low,waveRange; surferFit
JS Industries,Schooner,7690,high_performance_shortboard,powerful_wave_board,medium,waveRange; surferFit
JS Industries,Step Off,7684,step_up,high_performance_shortboard; powerful_wave_board; travel_board,medium,waveRange; surferFit
JS Industries,Sub Xero,7698,high_volume_groveller,small_wave_speed_board,medium,waveRange; surferFit
JS Industries,Xero Fusion,7693,forgiving_daily_driver,one_board_quiver,medium,waveRange; surferFit
JS Industries,Xero Fusion Easy Rider,7711,groveller,weak_wave_board,medium,waveRange; surferFit
JS Industries,Xero Gravity,7692,performance_daily_driver,high_performance_shortboard,high,surferFit
JS Industries,Xero Gravity Easy Rider,7710,hybrid_daily_driver,one_board_quiver,low,surferFit
JS Industries,Xero Gravity Youth,7702,youth,,medium,surferFit
Lost,3.0 Stub Driver,7825,hybrid_daily_driver,one_board_quiver,low,waveRange; surferFit
